TS = 8464109, TJ = 4024236
TS = 7083772, TJ = 909705
TS = 3212564, TJ = 1048460
TS = 33118486, TJ = 31205470
TS = 2892597, TJ = 1041429
TS = 3077607, TJ = 1132528
TS = 29599667, TJ = 27626825
TS = 2885492, TJ = 1005090
TS = 5954009, TJ = 975109
TS = 2930960, TJ = 990936
TS = 2807648, TJ = 973072
TS = 29154296, TJ = 27429007
TS = 54309774, TJ = 32285636
TS = 3613044, TJ = 997767
TS = 5669536, TJ = 923693
TS = 2767280, TJ = 911978
TS = 2360700, TJ = 818732
TS = 2702249, TJ = 926783
TS = 28869132, TJ = 27268181
TS = 2668311, TJ = 952763
TS = 2336924, TJ = 906043
TS = 5789659, TJ = 869835
TS = 2942582, TJ = 970436
TS = 5030972, TJ = 893329
TS = 55876655, TJ = 27556510
TS = 2688641, TJ = 919080
TS = 2885205, TJ = 1003189
TS = 6940345, TJ = 981126
TS = 2997375, TJ = 1050901
TS = 2510889, TJ = 934671
TS = 2413443, TJ = 869981
TS = 2645462, TJ = 933244
TS = 2603974, TJ = 908134
TS = 2862742, TJ = 1003718
TS = 30455632, TJ = 27855225
TS = 2742496, TJ = 919259
TS = 29900431, TJ = 28007636
TS = 6473269, TJ = 916527
TS = 2462988, TJ = 834265
TS = 2785394, TJ = 906703
TS = 29675534, TJ = 28044747
TS = 2747899, TJ = 969371
TS = 7811190, TJ = 6308892
TS = 33346692, TJ = 31480575
TS = 2668387, TJ = 945362
TS = 29864487, TJ = 28321224
TS = 2702024, TJ = 913235
TS = 2335334, TJ = 848714
TS = 4453512, TJ = 915324
TS = 3122726, TJ = 1696751
TS = 2625046, TJ = 878465
TS = 3935203, TJ = 2494896
TS = 2955019, TJ = 1079574
TS = 2885362, TJ = 982107
TS = 2822289, TJ = 976364
TS = 536417239, TJ = 26358460
TS = 83426867, TJ = 27831739
TS = 2877552, TJ = 995584
TS = 2803816, TJ = 923126
TS = 6468688, TJ = 919697
TS = 2485158, TJ = 914897
TS = 2970403, TJ = 1036521
TS = 2449012, TJ = 826405
TS = 30240159, TJ = 28362709
TS = 2797129, TJ = 1035387
TS = 2718302, TJ = 913468
TS = 2956964, TJ = 1036428
TS = 3085493, TJ = 1112872
TS = 30075579, TJ = 28371895
TS = 3019345, TJ = 1032663
TS = 2585773, TJ = 932381
TS = 2857530, TJ = 1138172
TS = 3037000, TJ = 1144243
TS = 3078353, TJ = 1084184
TS = 2901265, TJ = 1042057
TS = 56599617, TJ = 27955181
TS = 5492000, TJ = 3669591
TS = 328995517, TJ = 28130570
TS = 2911588, TJ = 1015938
TS = 123757570, TJ = 6542527
TS = 2680465, TJ = 875449
TS = 3730658, TJ = 1933029
TS = 2681821, TJ = 952896
TS = 29306393, TJ = 27629897
TS = 2504937, TJ = 868171
TS = 2412280, TJ = 900365
TS = 288402372, TJ = 26602363
TS = 3103154, TJ = 1227172
TS = 48564157, TJ = 46915953
TS = 2927562, TJ = 954333
TS = 56551054, TJ = 27410945
TS = 59322483, TJ = 29106904
