TS = 10530652, TJ = 3074838
TS = 9447382, TJ = 1024310
TS = 10988224, TJ = 5854436
TS = 10716722, TJ = 1446104
TS = 10469196, TJ = 1914856
TS = 3239705, TJ = 290874
TS = 3930725, TJ = 3396977
TS = 3630597, TJ = 305467
TS = 3244162, TJ = 2362403
TS = 4271211, TJ = 1657777
TS = 10604948, TJ = 299047
TS = 13032613, TJ = 1421778
TS = 67370904, TJ = 3591071
TS = 70030551, TJ = 1632352
TS = 29337374, TJ = 541226
TS = 25126263, TJ = 905239
TS = 25064464, TJ = 848463
TS = 25454980, TJ = 2829353
TS = 2719639, TJ = 2591981
TS = 3940573, TJ = 964861
TS = 10766953, TJ = 1616197
TS = 13593970, TJ = 1093816
TS = 12532198, TJ = 6636113
TS = 12691191, TJ = 1515057
TS = 14468407, TJ = 1788553
TS = 12545525, TJ = 3624671
TS = 14386231, TJ = 2068116
TS = 14149784, TJ = 2178073
TS = 1839058, TJ = 1795417
TS = 1782323, TJ = 1743780
TS = 1915007, TJ = 1871201
TS = 7118762, TJ = 2243233
TS = 12509631, TJ = 2811671
TS = 8783256, TJ = 3122976
TS = 12488567, TJ = 1161459
TS = 12476467, TJ = 1605348
TS = 3046662, TJ = 3005458
TS = 3425176, TJ = 304373
TS = 3345898, TJ = 3187364
TS = 1845012, TJ = 1805357
TS = 18034050, TJ = 1451394
TS = 18062989, TJ = 2085701
TS = 17487175, TJ = 6940668
TS = 19052179, TJ = 2572341
TS = 18829896, TJ = 4375299
TS = 19696345, TJ = 4114041
TS = 16353619, TJ = 2696169
TS = 18431768, TJ = 2799795
TS = 11323520, TJ = 4696797
TS = 11066640, TJ = 3629771
TS = 14651749, TJ = 1234526
TS = 18470305, TJ = 1469909
TS = 16818680, TJ = 1404679
TS = 17456247, TJ = 1676116
TS = 19044386, TJ = 1875357
TS = 18412743, TJ = 1937567
TS = 18872169, TJ = 2063333
TS = 15996361, TJ = 2383918
TS = 18523163, TJ = 13245960
TS = 15681403, TJ = 538638
TS = 10486142, TJ = 4607783
TS = 10593852, TJ = 3327725
TS = 13008887, TJ = 2108173
TS = 17101112, TJ = 2504458
TS = 17616140, TJ = 2909646
TS = 19581879, TJ = 3433261
TS = 96054407, TJ = 22022482
TS = 105939001, TJ = 282784
TS = 105015640, TJ = 439530
TS = 104766809, TJ = 475578
TS = 133132944, TJ = 21552151
TS = 174126345, TJ = 4419121
TS = 35892586, TJ = 1441689
TS = 24483062, TJ = 303843
TS = 37759494, TJ = 4747931
TS = 37306766, TJ = 1033779
TS = 25099546, TJ = 2861395
TS = 2224101, TJ = 2156883
TS = 1904288, TJ = 1862127
TS = 3545973, TJ = 2139884
TS = 6838539, TJ = 1069946
TS = 3325611, TJ = 870559
TS = 5013990, TJ = 1382882
TS = 9385246, TJ = 2230433
TS = 8718793, TJ = 3218947
TS = 8430038, TJ = 1439544
TS = 1908253, TJ = 1864919
TS = 2011891, TJ = 1962912
TS = 5211600, TJ = 363839
TS = 5275306, TJ = 2254218
TS = 5027424, TJ = 3368189
TS = 1841605, TJ = 1799837
TS = 11882225, TJ = 348733
TS = 13515148, TJ = 459924
TS = 5817599, TJ = 900078
TS = 13544150, TJ = 6638158
TS = 6104062, TJ = 3644707
TS = 5803162, TJ = 2751128
TS = 35877839, TJ = 807904
TS = 37739457, TJ = 1634300
TS = 37603264, TJ = 1739044
TS = 48127455, TJ = 32961533
TS = 38140232, TJ = 4720136
TS = 38791401, TJ = 2058785
TS = 37893718, TJ = 2277659
TS = 2016563, TJ = 1945221
TS = 60598362, TJ = 18032310
TS = 61440166, TJ = 18794762
TS = 60721664, TJ = 20562876
TS = 62964708, TJ = 19095472
TS = 64220737, TJ = 19558658
TS = 63173190, TJ = 19686420
TS = 64031534, TJ = 25028350
TS = 32028360, TJ = 21562372
TS = 22322444, TJ = 736841
TS = 2319274, TJ = 2244402
TS = 60481426, TJ = 9241698
TS = 41225353, TJ = 1761133
TS = 58247492, TJ = 30025425
TS = 58042700, TJ = 1632452
TS = 58423837, TJ = 2903491
TS = 58053216, TJ = 1935116
TS = 42481762, TJ = 1883105
TS = 41722186, TJ = 3108432
TS = 104971371, TJ = 58280307
TS = 89269467, TJ = 36916049
TS = 101262460, TJ = 36764713
TS = 98730552, TJ = 37755725
TS = 89947805, TJ = 35267995
